Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,SF Bay Area,SoCal
Sep-90,13.4,13.9,NA,NA,NA,12.1,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,14.9,NA,NA,10.4,19,NA,NA,NA,NA,NA,NA
Oct-90,12.5,11.9,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,13,NA,NA,10.2,16.2,NA,NA,NA,NA,NA,NA
Nov-90,14.1,11,NA,NA,NA,12.1,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,11.9,NA,NA,12.7,18.7,NA,NA,NA,NA,NA,NA
Dec-90,14.2,10.2,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,12.1,NA,NA,13.4,18,NA,NA,NA,NA,NA,NA
Jan-91,16,12.4,NA,NA,NA,13.2,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,16.6,NA,NA,15.2,22.3,NA,NA,NA,NA,NA,NA
Feb-91,18.8,15.5,NA,NA,NA,16.4,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,20.2,NA,NA,18.3,26.3,NA,NA,NA,NA,NA,NA
Mar-91,12.8,10.9,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,12.7,NA,NA,12.2,17.1,NA,NA,NA,NA,NA,NA
Apr-91,10.2,7.6,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,10.2,NA,NA,9.4,14.2,NA,NA,NA,NA,NA,NA
May-91,9.8,6.4,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,7.7,NA,NA,9,12.6,NA,NA,NA,NA,NA,NA
Jun-91,11,6.6,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,8.3,NA,NA,10.9,14,NA,NA,NA,NA,NA,NA
