Traditional Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month/QTR,CA,US,Alameda,Amador,Butte,Calaveras,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Kern,Kings,Lake,Lassen,LA,Madera,Marin,Mariposa/Tuolumne,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
1-Jul,32%,NA,21%,NA,NA,NA,14%,NA,NA,50%,NA,NA,NA,NA,NA,NA,NA,35%,NA,17%,NA,NA,44%,NA,NA,NA,NA,28%,NA,NA,43%,49%,NA,52%,24%,12%,NA,24%,17%,14%,23%,15%,NA,NA,NA,18%,NA,NA,NA,NA,NA,NA,31%,NA,NA
1-Aug,30%,NA,22%,NA,NA,NA,14%,NA,NA,52%,NA,NA,NA,NA,NA,NA,NA,34%,NA,17%,NA,NA,41%,NA,NA,NA,NA,27%,NA,NA,44%,49%,NA,52%,24%,13%,NA,27%,18%,17%,25%,19%,NA,NA,NA,21%,NA,NA,NA,NA,NA,NA,35%,NA,NA
1-Sep,33%,NA,25%,NA,NA,NA,16%,NA,NA,50%,NA,NA,NA,NA,NA,NA,NA,35%,NA,18%,NA,NA,44%,NA,NA,NA,NA,30%,NA,NA,41%,51%,NA,55%,25%,15%,NA,26%,19%,26%,27%,20%,NA,NA,NA,21%,NA,NA,NA,NA,NA,NA,33%,NA,NA
1-Oct,36%,NA,25%,NA,NA,NA,17%,NA,NA,53%,NA,NA,NA,NA,NA,NA,NA,36%,NA,20%,NA,NA,43%,NA,NA,NA,NA,31%,NA,NA,46%,52%,NA,54%,29%,16%,NA,29%,19%,27%,30%,20%,NA,NA,NA,22%,NA,NA,NA,NA,NA,NA,36%,NA,NA
1-Nov,35%,NA,26%,NA,NA,NA,18%,NA,NA,52%,NA,NA,NA,NA,NA,NA,NA,36%,NA,20%,NA,NA,40%,NA,NA,NA,NA,33%,NA,NA,45%,52%,NA,54%,29%,14%,NA,28%,21%,28%,29%,20%,NA,NA,NA,23%,NA,NA,NA,NA,NA,NA,35%,NA,NA
1-Dec,33%,NA,25%,NA,NA,NA,18%,NA,NA,52%,NA,NA,NA,NA,NA,NA,NA,36%,NA,20%,NA,NA,50%,NA,NA,NA,NA,31%,NA,NA,44%,51%,NA,53%,27%,15%,NA,29%,20%,22%,29%,21%,NA,NA,NA,24%,NA,NA,NA,NA,NA,NA,39%,NA,NA
2-Jan,31%,NA,25%,NA,NA,NA,16%,NA,NA,51%,NA,NA,NA,NA,NA,NA,NA,34%,NA,20%,NA,NA,42%,NA,NA,NA,NA,31%,NA,NA,44%,50%,NA,54%,27%,17%,NA,25%,20%,21%,29%,20%,NA,NA,NA,23%,NA,NA,NA,NA,NA,NA,37%,NA,NA
2-Feb,30%,NA,21%,NA,NA,NA,15%,NA,NA,50%,NA,NA,NA,NA,NA,NA,NA,33%,NA,18%,NA,NA,40%,NA,NA,NA,NA,26%,NA,NA,42%,50%,NA,55%,25%,14%,NA,22%,17%,20%,23%,17%,NA,NA,NA,19%,NA,NA,NA,NA,NA,NA,36%,NA,NA
2-Mar,29%,NA,21%,NA,NA,NA,11%,NA,NA,51%,NA,NA,NA,NA,NA,NA,NA,33%,NA,16%,NA,NA,40%,NA,NA,NA,NA,25%,NA,NA,39%,48%,NA,53%,23%,12%,NA,20%,16%,22%,22%,16%,NA,NA,NA,19%,NA,NA,NA,NA,NA,NA,36%,NA,NA
2-Apr,27%,NA,17%,NA,NA,NA,11%,NA,NA,52%,NA,NA,NA,NA,NA,NA,NA,31%,NA,14%,NA,NA,40%,NA,NA,NA,NA,23%,NA,NA,36%,46%,NA,53%,22%,13%,NA,21%,15%,10%,21%,16%,NA,NA,NA,17%,NA,NA,NA,NA,NA,NA,32%,NA,NA
2-May,28%,NA,18%,NA,NA,NA,9%,NA,NA,50%,NA,NA,NA,NA,NA,NA,NA,31%,NA,15%,NA,NA,38%,NA,NA,NA,NA,22%,NA,NA,39%,44%,NA,52%,20%,10%,NA,21%,16%,21%,20%,15%,NA,NA,NA,18%,NA,NA,NA,NA,NA,NA,32%,NA,NA
2-Jun,27%,NA,17%,NA,NA,NA,10%,NA,NA,46%,NA,NA,NA,NA,NA,NA,NA,31%,NA,16%,NA,NA,37%,NA,NA,NA,NA,22%,NA,NA,37%,44%,NA,51%,20%,12%,NA,20%,16%,21%,20%,16%,NA,NA,NA,17%,NA,NA,NA,NA,NA,NA,33%,NA,NA
2-Jul,28%,NA,18%,NA,NA,NA,10%,NA,NA,47%,NA,NA,NA,NA,NA,NA,NA,31%,NA,16%,NA,NA,38%,NA,NA,NA,NA,22%,NA,NA,38%,43%,NA,51%,20%,13%,NA,23%,17%,17%,22%,16%,NA,NA,NA,18%,NA,NA,NA,NA,NA,NA,28%,NA,NA
2-Aug,28%,NA,19%,NA,NA,NA,11%,NA,NA,47%,NA,NA,NA,NA,NA,NA,NA,29%,NA,17%,NA,NA,39%,NA,NA,NA,NA,23%,NA,NA,39%,42%,NA,52%,20%,14%,NA,20%,17%,16%,25%,16%,NA,NA,NA,18%,NA,NA,NA,NA,NA,NA,30%,NA,NA
2-Sep,29%,NA,20%,NA,NA,NA,12%,NA,NA,47%,NA,NA,NA,NA,NA,NA,NA,31%,NA,18%,NA,NA,35%,NA,NA,NA,NA,24%,NA,NA,41%,42%,NA,50%,20%,14%,NA,24%,18%,22%,28%,17%,NA,NA,NA,20%,NA,NA,NA,NA,NA,NA,30%,NA,NA
2-Oct,30%,NA,21%,NA,NA,NA,13%,NA,NA,45%,NA,NA,NA,NA,NA,NA,NA,31%,NA,18%,NA,NA,36%,NA,NA,NA,NA,24%,NA,NA,40%,43%,NA,52%,22%,14%,NA,24%,20%,15%,27%,18%,NA,NA,NA,22%,NA,NA,NA,NA,NA,NA,31%,NA,NA
2-Nov,30%,NA,22%,NA,NA,NA,14%,NA,NA,46%,NA,NA,NA,NA,NA,NA,NA,29%,NA,18%,NA,NA,34%,NA,NA,NA,NA,25%,NA,NA,37%,43%,NA,50%,22%,14%,NA,23%,19%,22%,28%,20%,NA,NA,NA,22%,NA,NA,NA,NA,NA,NA,32%,NA,NA
2-Dec,28%,NA,22%,NA,NA,NA,12%,NA,NA,48%,NA,NA,NA,NA,NA,NA,NA,31%,NA,21%,NA,NA,36%,NA,NA,NA,NA,25%,NA,NA,37%,43%,NA,51%,22%,15%,NA,22%,21%,21%,28%,20%,NA,NA,NA,22%,NA,NA,NA,NA,NA,NA,30%,NA,NA
3-Jan,29%,NA,24%,NA,NA,NA,16%,NA,NA,46%,NA,NA,NA,NA,NA,NA,NA,30%,NA,21%,NA,NA,32%,NA,NA,NA,NA,25%,NA,NA,38%,43%,NA,48%,22%,15%,NA,22%,20%,21%,31%,20%,NA,NA,NA,21%,NA,NA,NA,NA,NA,NA,31%,NA,NA
3-Feb,30%,NA,21%,NA,NA,NA,13%,NA,NA,46%,NA,NA,NA,NA,NA,NA,NA,31%,NA,17%,NA,NA,34%,NA,NA,NA,NA,21%,NA,NA,36%,43%,NA,50%,22%,11%,NA,18%,18%,18%,25%,16%,NA,NA,NA,19%,NA,NA,NA,NA,NA,NA,32%,NA,NA
3-Mar,28%,NA,19%,NA,NA,NA,12%,NA,NA,44%,NA,NA,NA,NA,NA,NA,NA,31%,NA,17%,NA,NA,36%,NA,NA,NA,NA,22%,NA,NA,34%,43%,NA,49%,21%,12%,NA,19%,17%,15%,25%,17%,NA,NA,NA,20%,NA,NA,NA,NA,NA,NA,31%,NA,NA
3-Apr,27%,NA,20%,NA,NA,NA,10%,NA,NA,44%,NA,NA,NA,NA,NA,NA,NA,29%,NA,17%,NA,NA,33%,NA,NA,NA,NA,21%,NA,NA,33%,43%,NA,49%,22%,11%,NA,17%,18%,12%,26%,16%,NA,NA,NA,18%,NA,NA,NA,NA,NA,NA,23%,NA,NA
3-May,27%,NA,20%,NA,NA,NA,11%,NA,NA,44%,NA,NA,NA,NA,NA,NA,NA,28%,NA,18%,NA,NA,31%,NA,NA,NA,NA,21%,NA,NA,35%,42%,NA,47%,21%,12%,NA,18%,17%,19%,26%,17%,NA,NA,NA,17%,NA,NA,NA,NA,NA,NA,26%,NA,NA
3-Jun,27%,NA,20%,NA,NA,NA,12%,NA,NA,43%,NA,NA,NA,NA,NA,NA,NA,29%,NA,18%,NA,NA,33%,NA,NA,NA,NA,22%,NA,NA,33%,41%,NA,46%,20%,13%,NA,20%,17%,21%,26%,17%,NA,NA,NA,16%,NA,NA,NA,NA,NA,NA,27%,NA,NA
3-Jul,26%,NA,20%,NA,NA,NA,13%,NA,NA,42%,NA,NA,NA,NA,NA,NA,NA,27%,NA,18%,NA,NA,33%,NA,NA,NA,NA,21%,NA,NA,33%,42%,NA,45%,19%,12%,NA,19%,18%,12%,28%,19%,NA,NA,NA,17%,NA,NA,NA,NA,NA,NA,27%,NA,NA
3-Aug,24%,NA,20%,NA,NA,NA,11%,NA,NA,40%,NA,NA,NA,NA,NA,NA,NA,24%,NA,18%,NA,NA,30%,NA,NA,NA,NA,18%,NA,NA,31%,39%,NA,44%,17%,12%,NA,18%,18%,13%,26%,18%,NA,NA,NA,16%,NA,NA,NA,NA,NA,NA,24%,NA,NA
3-Sep,24%,NA,19%,NA,NA,NA,10%,NA,NA,41%,NA,NA,NA,NA,NA,NA,NA,24%,NA,18%,NA,NA,31%,NA,NA,NA,NA,18%,NA,NA,32%,38%,NA,42%,17%,12%,NA,20%,18%,14%,26%,17%,NA,NA,NA,16%,NA,NA,NA,NA,NA,NA,22%,NA,NA
3-Oct,25%,NA,20%,NA,NA,NA,12%,NA,NA,41%,NA,NA,NA,NA,NA,NA,NA,24%,NA,19%,NA,NA,27%,NA,NA,NA,NA,18%,NA,NA,29%,38%,NA,39%,16%,12%,NA,18%,18%,19%,26%,18%,NA,NA,NA,17%,NA,NA,NA,NA,NA,NA,25%,NA,NA
3-Nov,25%,NA,20%,NA,NA,NA,13%,NA,NA,37%,NA,NA,NA,NA,NA,NA,NA,23%,NA,18%,NA,NA,30%,NA,NA,NA,NA,18%,NA,NA,31%,38%,NA,43%,16%,12%,NA,19%,18%,20%,27%,19%,NA,NA,NA,15%,NA,NA,NA,NA,NA,NA,25%,NA,NA
3-Dec,23%,NA,20%,NA,NA,NA,12%,NA,NA,36%,NA,NA,NA,NA,NA,NA,NA,23%,NA,17%,NA,NA,29%,NA,NA,NA,NA,18%,NA,NA,28%,37%,NA,39%,15%,12%,NA,16%,18%,19%,26%,18%,NA,NA,NA,15%,NA,NA,NA,NA,NA,NA,23%,NA,NA
4-Jan,23%,NA,21%,NA,NA,NA,14%,NA,NA,42%,NA,NA,NA,NA,NA,NA,NA,23%,NA,19%,NA,NA,31%,NA,NA,NA,NA,20%,NA,NA,27%,39%,NA,41%,16%,12%,NA,17%,18%,15%,29%,18%,NA,NA,NA,16%,NA,NA,NA,NA,NA,NA,24%,NA,NA
4-Feb,25%,NA,19%,NA,NA,NA,10%,NA,NA,35%,NA,NA,NA,NA,NA,NA,NA,22%,NA,18%,NA,NA,33%,NA,NA,NA,NA,17%,NA,NA,27%,36%,NA,38%,15%,12%,NA,14%,18%,16%,27%,17%,NA,NA,NA,16%,NA,NA,NA,NA,NA,NA,22%,NA,NA
4-Mar,21%,NA,20%,NA,NA,NA,12%,NA,NA,35%,NA,NA,NA,NA,NA,NA,NA,22%,NA,17%,NA,NA,31%,NA,NA,NA,NA,14%,NA,NA,22%,34%,NA,36%,15%,12%,NA,20%,17%,14%,23%,17%,NA,NA,NA,16%,NA,NA,NA,NA,NA,NA,20%,NA,NA
4-Apr,20%,NA,18%,NA,NA,NA,11%,NA,NA,34%,NA,NA,NA,NA,NA,NA,NA,20%,NA,16%,NA,NA,30%,NA,NA,NA,NA,13%,NA,NA,22%,33%,NA,35%,14%,12%,NA,20%,17%,13%,24%,15%,NA,NA,NA,15%,NA,NA,NA,NA,NA,NA,17%,NA,NA
4-May,19%,NA,15%,NA,NA,NA,10%,NA,NA,31%,NA,NA,NA,NA,NA,NA,NA,18%,NA,14%,NA,NA,25%,NA,NA,NA,NA,11%,NA,NA,20%,30%,NA,32%,11%,11%,NA,16%,15%,7%,22%,14%,NA,NA,NA,14%,NA,NA,NA,NA,NA,NA,15%,NA,NA
4-Jun,18%,NA,14%,NA,NA,NA,10%,NA,NA,29%,NA,NA,NA,NA,NA,NA,NA,17%,NA,13%,NA,NA,23%,NA,NA,NA,NA,11%,NA,NA,17%,26%,NA,29%,10%,10%,NA,14%,14%,10%,21%,16%,NA,NA,NA,13%,NA,NA,NA,NA,NA,NA,13%,NA,NA
4-Jul,19%,NA,14%,NA,NA,NA,10%,NA,NA,28%,NA,NA,NA,NA,NA,NA,NA,17%,NA,14%,NA,NA,24%,NA,NA,NA,NA,11%,NA,NA,17%,26%,NA,25%,10%,11%,NA,14%,15%,14%,21%,13%,NA,NA,NA,13%,NA,NA,NA,NA,NA,NA,14%,NA,NA
4-Aug,18%,NA,15%,NA,NA,NA,10%,NA,NA,27%,NA,NA,NA,NA,NA,NA,NA,17%,NA,14%,NA,NA,21%,NA,NA,NA,NA,11%,NA,NA,18%,26%,NA,28%,10%,11%,NA,14%,15%,14%,23%,14%,NA,NA,NA,13%,NA,NA,NA,NA,NA,NA,14%,NA,NA
4-Sep,19%,NA,15%,NA,NA,NA,10%,NA,NA,27%,NA,NA,NA,NA,NA,NA,NA,17%,NA,15%,NA,NA,22%,NA,NA,NA,NA,13%,NA,NA,18%,25%,NA,28%,11%,12%,NA,13%,16%,6%,23%,14%,NA,NA,NA,13%,NA,NA,NA,NA,NA,NA,16%,NA,NA
4-Oct,19%,NA,14%,NA,NA,NA,10%,NA,NA,27%,NA,NA,NA,NA,NA,NA,NA,17%,NA,16%,NA,NA,19%,NA,NA,NA,NA,13%,NA,NA,18%,25%,NA,26%,12%,11%,NA,14%,16%,9%,23%,13%,NA,NA,NA,13%,NA,NA,NA,NA,NA,NA,18%,NA,NA
4-Nov,19%,NA,15%,NA,NA,NA,10%,NA,NA,28%,NA,NA,NA,NA,NA,NA,NA,17%,NA,14%,NA,NA,20%,NA,NA,NA,NA,13%,NA,NA,18%,24%,NA,27%,12%,11%,NA,14%,15%,7%,22%,15%,NA,NA,NA,12%,NA,NA,NA,NA,NA,NA,17%,NA,NA
4-Dec,19%,NA,14%,NA,NA,NA,10%,NA,NA,27%,NA,NA,NA,NA,NA,NA,NA,17%,NA,14%,NA,NA,19%,NA,NA,NA,NA,13%,NA,NA,17%,24%,NA,26%,11%,11%,NA,14%,15%,9%,21%,14%,NA,NA,NA,11%,NA,NA,NA,NA,NA,NA,16%,NA,NA
5-Jan,18%,NA,14%,NA,NA,NA,10%,NA,NA,26%,NA,NA,NA,NA,NA,NA,NA,17%,NA,13%,NA,NA,19%,NA,NA,NA,NA,12%,NA,NA,15%,24%,NA,23%,11%,11%,NA,13%,15%,7%,21%,12%,NA,NA,NA,11%,NA,NA,NA,NA,NA,NA,14%,NA,NA
5-Feb,19%,NA,13%,NA,NA,NA,10%,NA,NA,26%,NA,NA,NA,NA,NA,NA,NA,17%,NA,13%,NA,NA,17%,NA,NA,NA,NA,11%,NA,NA,17%,24%,NA,24%,11%,10%,NA,13%,14%,8%,20%,12%,NA,NA,NA,10%,NA,NA,NA,NA,NA,NA,15%,NA,NA
5-Mar,18%,NA,12%,NA,NA,NA,10%,NA,NA,24%,NA,NA,NA,NA,NA,NA,NA,17%,NA,11%,NA,NA,16%,NA,NA,NA,NA,11%,NA,NA,19%,23%,NA,23%,10%,9%,NA,13%,11%,9%,19%,12%,NA,NA,NA,9%,NA,NA,NA,NA,NA,NA,14%,NA,NA
5-Apr,17%,NA,11%,NA,NA,NA,10%,NA,NA,24%,NA,NA,NA,NA,NA,NA,NA,16%,NA,12%,NA,NA,16%,NA,NA,NA,NA,11%,NA,NA,19%,21%,NA,24%,10%,8%,NA,11%,10%,10%,18%,12%,NA,NA,NA,8%,NA,NA,NA,NA,NA,NA,13%,NA,NA
5-May,16%,NA,11%,NA,NA,NA,10%,NA,NA,20%,NA,NA,NA,NA,NA,NA,NA,15%,NA,12%,NA,NA,14%,NA,NA,NA,NA,11%,NA,NA,18%,20%,NA,24%,9%,8%,NA,11%,11%,6%,18%,11%,NA,NA,NA,7%,NA,NA,NA,NA,NA,NA,13%,NA,NA
5-Jun,16%,NA,11%,NA,NA,NA,10%,NA,NA,20%,NA,NA,NA,NA,NA,NA,NA,15%,NA,10%,NA,NA,11%,NA,NA,NA,NA,11%,NA,NA,14%,21%,NA,20%,9%,9%,NA,10%,12%,7%,18%,10%,NA,NA,NA,7%,NA,NA,NA,NA,NA,NA,13%,NA,NA
5-Jul,16%,NA,11%,NA,NA,NA,10%,NA,NA,21%,NA,NA,NA,NA,NA,NA,NA,14%,NA,11%,NA,NA,11%,NA,NA,NA,NA,11%,NA,NA,15%,20%,NA,19%,9%,9%,NA,10%,12%,7%,18%,11%,NA,NA,NA,7%,NA,NA,NA,NA,NA,NA,13%,NA,NA
5-Aug,14%,NA,11%,NA,NA,NA,10%,NA,NA,18%,NA,NA,NA,NA,NA,NA,NA,12%,NA,11%,NA,NA,10%,NA,NA,NA,NA,11%,NA,NA,18%,19%,NA,22%,9%,9%,NA,10%,12%,6%,18%,10%,NA,NA,NA,7%,NA,NA,NA,NA,NA,NA,13%,NA,NA
5-Sep,15%,NA,11%,NA,NA,NA,10%,NA,NA,19%,NA,NA,NA,NA,NA,NA,NA,13%,NA,13%,NA,NA,9%,NA,NA,NA,NA,11%,NA,NA,18%,20%,NA,22%,9%,9%,NA,8%,13%,9%,19%,11%,NA,NA,NA,7%,NA,NA,NA,NA,NA,NA,13%,NA,NA
5-Oct,15%,NA,11%,NA,NA,NA,10%,NA,NA,18%,NA,NA,NA,NA,NA,NA,NA,12%,NA,12%,NA,NA,9%,NA,NA,NA,NA,11%,NA,NA,18%,19%,NA,22%,9%,9%,NA,8%,12%,9%,18%,11%,NA,NA,NA,7%,NA,NA,NA,NA,NA,NA,13%,NA,NA
5-Nov,14%,NA,11%,NA,NA,NA,10%,NA,NA,17%,NA,NA,NA,NA,NA,NA,NA,11%,NA,12%,NA,NA,10%,NA,NA,NA,NA,11%,NA,NA,17%,19%,NA,21%,8%,9%,NA,7%,12%,7%,18%,10%,NA,NA,NA,7%,NA,NA,NA,NA,NA,NA,13%,NA,NA
5-Dec,14%,NA,11%,NA,NA,NA,10%,NA,NA,19%,NA,NA,NA,NA,NA,NA,NA,12%,NA,10%,NA,NA,10%,NA,NA,NA,NA,10%,NA,NA,16%,19%,NA,20%,9%,9%,NA,10%,13%,6%,18%,11%,NA,NA,NA,7%,NA,NA,NA,NA,NA,NA,13%,NA,NA
----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
2006.1,13%,11%,12%,NA,NA,NA,11%,NA,NA,25%,NA,NA,NA,NA,NA,NA,NA,11%,NA,12%,NA,NA,20%,NA,NA,NA,NA,11%,NA,NA,17%,22%,NA,22%,9%,11%,NA,8%,12%,7%,15%,10%,NA,NA,NA,9%,NA,NA,NA,NA,NA,NA,11%,NA,NA
2006.2,12%,10%,23%,NA,NA,NA,15%,NA,NA,39%,NA,NA,NA,NA,NA,NA,NA,9%,NA,20%,NA,NA,36%,NA,NA,NA,NA,10%,NA,NA,32%,21%,NA,38%,9%,16%,NA,7%,18%,6%,13%,19%,NA,NA,NA,22%,NA,NA,NA,NA,NA,NA,10%,NA,NA
2006.3,12%,10%,23%,NA,NA,NA,17%,NA,NA,40%,NA,NA,NA,NA,NA,NA,NA,9%,NA,21%,NA,NA,41%,NA,NA,NA,NA,11%,NA,NA,25%,21%,NA,28%,9%,17%,NA,7%,20%,7%,14%,18%,NA,NA,NA,23%,NA,NA,NA,NA,NA,NA,10%,NA,NA
2006.4,12%,11%,25%,NA,NA,NA,23%,NA,NA,42%,NA,NA,NA,NA,NA,NA,NA,9%,NA,22%,NA,NA,41%,NA,NA,NA,NA,11%,NA,NA,34%,24%,NA,37%,11%,19%,NA,11%,20%,8%,15%,21%,NA,NA,NA,25%,NA,NA,NA,NA,NA,NA,11%,NA,NA
2007.1,13%,12%,12%,NA,NA,NA,10%,NA,NA,28%,NA,NA,NA,NA,NA,NA,NA,10%,NA,11%,NA,NA,29%,NA,NA,NA,NA,12%,NA,NA,19%,25%,NA,24%,11%,10%,NA,10%,11%,6%,14%,9%,NA,NA,NA,11%,NA,NA,NA,NA,NA,NA,12%,NA,NA
2007.2,11%,11%,23%,NA,NA,NA,16%,NA,NA,44%,NA,NA,NA,NA,NA,NA,NA,10%,NA,19%,NA,NA,46%,NA,NA,NA,NA,11%,NA,NA,35%,26%,NA,41%,10%,15%,NA,7%,18%,6%,11%,18%,NA,NA,NA,24%,NA,NA,NA,NA,NA,NA,11%,NA,NA
2007.3,11%,11%,11%,NA,NA,NA,8%,NA,NA,28%,NA,NA,NA,NA,NA,NA,NA,9%,NA,10%,NA,NA,31%,NA,NA,NA,NA,11%,NA,NA,19%,28%,NA,27%,10%,8%,NA,9%,8%,6%,11%,9%,NA,NA,NA,10%,NA,NA,NA,NA,NA,NA,11%,NA,NA
2007.4,18%,13%,12%,NA,NA,NA,12%,NA,NA,31%,NA,NA,NA,NA,NA,NA,NA,15%,NA,11%,NA,NA,34%,NA,NA,NA,NA,13%,NA,NA,24%,35%,NA,28%,16%,11%,NA,14%,10%,9%,13%,10%,NA,NA,NA,19%,NA,NA,NA,NA,NA,NA,13%,NA,NA
2008.1,26%,25%,17%,NA,NA,NA,15%,NA,NA,39%,NA,NA,NA,NA,NA,NA,NA,20%,NA,14%,NA,NA,42%,NA,NA,NA,NA,18%,NA,NA,37%,46%,NA,41%,24%,12%,NA,16%,12%,17%,16%,13%,NA,NA,NA,23%,NA,NA,NA,NA,NA,NA,25%,NA,NA
2008.2,29%,29%,20%,NA,NA,NA,14%,NA,NA,43%,NA,NA,NA,NA,NA,NA,NA,22%,NA,11%,NA,NA,53%,NA,NA,NA,NA,20%,NA,NA,41%,51%,NA,46%,25%,12%,NA,18%,13%,23%,17%,13%,NA,NA,NA,26%,NA,NA,NA,NA,NA,NA,29%,NA,NA
2008.3,34%,30%,21%,NA,NA,NA,15%,NA,NA,48%,NA,NA,NA,NA,NA,NA,NA,25%,NA,14%,NA,NA,60%,NA,NA,NA,NA,25%,NA,NA,49%,54%,NA,52%,29%,13%,NA,20%,15%,25%,20%,16%,NA,NA,NA,31%,NA,NA,NA,NA,NA,NA,30%,NA,NA
2008.4,43%,40%,31%,NA,NA,NA,17%,NA,NA,57%,NA,NA,NA,NA,NA,NA,NA,30%,NA,19%,NA,NA,69%,NA,NA,NA,NA,31%,NA,NA,57%,61%,NA,56%,39%,17%,NA,27%,20%,37%,32%,27%,NA,NA,NA,38%,NA,NA,NA,NA,NA,NA,40%,NA,NA
2009.1,55%,47%,45%,NA,NA,NA,32%,NA,NA,65%,NA,NA,NA,NA,NA,NA,NA,41%,NA,24%,NA,NA,75%,NA,NA,NA,NA,37%,NA,NA,65%,69%,NA,68%,43%,24%,NA,31%,32%,47%,44%,36%,NA,NA,NA,45%,NA,NA,NA,NA,NA,NA,47%,NA,NA
2009.2,53%,41%,38%,NA,NA,NA,25%,NA,NA,66%,NA,NA,NA,NA,NA,NA,NA,41%,NA,23%,NA,NA,76%,NA,NA,NA,NA,35%,NA,NA,68%,68%,NA,73%,41%,21%,NA,32%,21%,38%,40%,29%,NA,NA,NA,44%,NA,NA,NA,NA,NA,NA,41%,NA,NA
2009.3,48%,35%,32%,NA,NA,NA,22%,NA,NA,63%,NA,NA,NA,NA,NA,NA,NA,35%,NA,22%,NA,NA,73%,NA,NA,NA,NA,32%,NA,NA,65%,65%,NA,70%,36%,19%,NA,27%,21%,33%,33%,26%,NA,NA,NA,39%,NA,NA,NA,NA,NA,NA,35%,NA,NA
2009.4,47%,39%,33%,NA,NA,NA,24%,NA,NA,63%,NA,NA,NA,NA,NA,NA,NA,35%,NA,24%,NA,NA,74%,NA,NA,NA,NA,33%,NA,NA,65%,66%,NA,69%,38%,19%,NA,29%,21%,31%,32%,26%,NA,NA,NA,39%,NA,NA,NA,NA,NA,NA,39%,NA,NA
2010.1,50%,38%,34%,NA,NA,NA,25%,NA,NA,64%,NA,NA,NA,NA,64%,NA,NA,43%,65%,24%,NA,NA,77%,NA,56%,44%,NA,28%,58%,NA,63%,68%,NA,75%,38%,21%,NA,34%,22%,34%,34%,27%,NA,NA,70%,40%,NA,NA,NA,NA,66%,NA,39%,NA,NA
2010.2,46%,38%,30%,NA,NA,NA,21%,NA,NA,62%,NA,NA,NA,NA,62%,NA,NA,43%,67%,21%,NA,NA,73%,NA,52%,42%,NA,27%,58%,NA,60%,65%,NA,68%,37%,19%,NA,31%,20%,25%,28%,26%,NA,NA,69%,40%,NA,NA,NA,NA,66%,NA,39%,NA,NA
2010.3,46%,40%,31%,NA,NA,NA,21%,NA,NA,65%,NA,NA,NA,NA,64%,NA,NA,38%,68%,23%,NA,NA,75%,NA,56%,41%,NA,28%,60%,NA,61%,68%,NA,74%,38%,22%,NA,36%,21%,26%,30%,28%,NA,NA,71%,40%,NA,NA,NA,NA,68%,NA,40%,NA,NA
2010.4,50%,41%,33%,NA,NA,NA,26%,NA,NA,67%,NA,NA,NA,NA,66%,NA,NA,43%,70%,25%,NA,NA,76%,NA,58%,47%,NA,33%,62%,NA,64%,70%,NA,76%,40%,22%,NA,37%,25%,32%,35%,29%,NA,NA,71%,44%,NA,NA,NA,NA,71%,NA,41%,NA,NA
2011.1,53%,69%,35%,NA,NA,NA,30%,NA,NA,69%,NA,NA,NA,NA,71%,NA,NA,46%,68%,27%,NA,NA,76%,NA,57%,48%,NA,33%,64%,NA,63%,71%,NA,76%,40%,25%,NA,40%,30%,37%,38%,34%,NA,NA,74%,47%,NA,NA,NA,NA,72%,NA,44%,NA,NA
2011.2,51%,67%,35%,NA,NA,NA,26%,NA,NA,70%,NA,NA,NA,NA,72%,NA,NA,46%,72%,24%,NA,NA,76%,NA,56%,47%,NA,31%,64%,NA,64%,72%,NA,77%,41%,24%,NA,37%,22%,35%,32%,32%,NA,NA,75%,46%,NA,NA,NA,NA,73%,NA,41%,NA,NA
2011.3,52%,66%,36%,NA,NA,NA,27%,NA,NA,69%,NA,NA,NA,NA,76%,NA,NA,42%,74%,25%,NA,NA,74%,NA,56%,48%,NA,33%,65%,NA,65%,72%,NA,77%,42%,26%,NA,40%,29%,38%,34%,32%,NA,NA,75%,46%,NA,NA,NA,NA,73%,NA,45%,NA,NA
2011.4,55%,70%,39%,NA,NA,NA,37%,NA,NA,71%,NA,NA,NA,NA,75%,NA,NA,48%,75%,29%,NA,NA,77%,NA,56%,50%,NA,38%,67%,NA,66%,74%,NA,78%,46%,26%,NA,41%,29%,41%,40%,37%,NA,NA,76%,51%,NA,NA,NA,NA,73%,NA,49%,NA,NA
